Name,County,Chief,Phone,Fax
Red Rock Rural Fire Association,Noble,Jerry Potter,580-723-4303,999-999-9999
Redland Fire Department Incorporated,Sequoyah,Rick Russell,918-427-4954,999-999-9999
Reed Volunteer Fire Department,Greer,Robert Peeler,580-683-4234,999-999-9999
Reichert Fire Department,Le Flore,Bill Hardin,918-653-2622,999-999-9999
Rentiesville Rural Area Fire District,McIntosh,Gary Foreman,918-473-0583,999-999-9999
Reydon Volunteer Fire Department,Roger Mills,Monty Markham,580-655-4592,999-999-9999
Richland Volunteer Fire Department,Canadian,Jim Price,405-373-1920,999-999-9999
Ringling Fire Department,Jefferson,Terry Morris,580-662-2216,999-999-9999
Ringold Volunteer Fire Department,McCurtain,Jimmy Capps,580-212-0646,999-999-9999
Ringwood Fire Department,Major,John Regier,580-883-4498,999-999-9999
Ripley Fire Department,Payne,Tim Arnold,918-373-4224,999-999-9999
River Road Fire District Association,Kay,John Williamson,580-362-1031,999-999-9999
Roberta Volunteer Fire Department,Bryan,Andy Daniel,580-920-5780,999-999-9999
Rock Fire Department,Osage,Charley Pearson,918-241-3873,999-999-9999
Rock Prarie Fire Department Inc,Murray,Butch Reed,580-384-5439,999-999-9999
Rock Township Rural Fire District Assoc,Noble,Wade Warren,580-336-3630,999-999-9999
Rocky Point Fire Department,Sequoyah,Greg Price,918-775-4969,999-999-9999
Rocky Volunteer Fire Department,Washita,Tucker Griffith,580-751-0196,999-999-9999
Roff Fire Department,Pontotoc,Robert Bailey,580-272-7339,999-999-9999
Roland Fire Department,Sequoyah,James Edwards,918-427-3252,918-427-3911
Rolling Hills Vol Fire Department,Wagoner,Bryon Fox,918-734-6025,999-999-9999
Roosevelt Volunteer Fire Department,Kiowa,Jeff Vanderpol,580-821-6782,580-639-2866
Rosedale Volunteer Fire Department,McClain,William Farmer,405-640-3143,405-469-4166
Rosston Volunteer Fire Department,Harper,Terry Shuman,580-921-5802,999-999-9999
Rufe Volunteer Fire Department,McCurtain,Bill Burwell,580-876-3224,999-999-9999
Rural Fire Prot Dist # 1 Sequoyah Co,Sequoyah,Dana Tracy,918-453-8764,999-999-9999
Rush Creek Volunteer Fire Department,Garvin,Richard McCarty,405-238-5230,999-999-9999
Rush Springs Fire Department,Grady,Ricky Adamson,580-476-3784,999-999-9999
Russell Community Vol Fire Assoc,Greer,Rick Johnson,580-679-4702,999-999-9999
Russellville Area Vol Fire Dept. Inc,Pittsburg,Clayton Potts,918-469-2202,999-999-9999
Ryan Fire Department,Jefferson,Brian Dalton,580-757-9285,999-999-9999
Sac & Fox Tribe Fire Department,Lincoln,Merle Boyd,918-968-3526,999-999-9999
Saddle Mountain Fire Department,Kiowa,Bill Sims,580-347-2706,999-999-9999
Salem/Ryall Fire Department,McIntosh,Allen Henshaw,918-652-1719,999-999-9999
Salina Fire Department,Mayes,Joe Brown,918-589-2574,999-999-9999
Sallisaw Fire Department,Sequoyah,Anthony Armstrong,918-775-6241,999-999-9999
Sam's Point Vol Fire Department,Pittsburg,Jim Staley,918-339-2026,999-999-9999
Sand Creek Rd Fire Association,Osage,Rocky Schroder,918-948-1681,999-999-9999
Sand Springs Fire Department,Tulsa,Mike Wood,918-246-2550,918-245-0372
Sandy Sanders WMA,Greer,Ron Smith,580-471-3371,999-999-9999
Sapulpa Fire Department,Creek,Jack Carner,918-224-3359,999-999-9999
Sarge Creek Rural Fire Company,Osage,Abraham Payne,918-793-7541,999-999-9999
Sasakwa Fire Department,Seminole,Dale Johnston,405-941-3210,999-999-9999
Savanna Fire Department,Pittsburg,Donald Capps,918-548-3768,999-999-9999
Sawyer Fire Department,Choctaw,William Eaton,918-327-5815,999-999-9999
Sayre Fire Department,Beckham,James Manning,580-928-2260,999-999-9999
Schulter Volunteer Fire Department,Okmulgee,Claude Stanke,918-652-8937,999-999-9999
Sedan Volunteer Fire Association,Kiowa,Don Payne,580-550-0818,999-999-9999
Seiling Fire Department,Dewey,Shane Sander,580-922-1963,999-999-9999
Selman Fire Department,Harper,Bill Bair,580-727-4211,999-999-9999
Seminole Fire Department,Seminole,Ed Lemmings,405-382-1315,999-999-9999
Sentinel Volunteer Fire Department,Washita,Jon Wheeler,580-393-2171,580-393-4905
Sequoyah Bay State Park,Wagoner,Ed Tittle,918-683-0878,999-999-9999
Sequoyah County Emergency Mgmt,Sequoyah,Chris Keathly,918-774-4632,999-999-9999
Sequoyah State Park,Cherokee,Stearling Zearllet,918-722-2046,999-999-9999
Shady Dale Volunteer Fire Department,Love,Tim Coyle,580-276-5285,999-999-9999
Shady Grove Volunteer Fire Department,Pittsburg,Billy Crenshaw,918-426-3473,999-999-9999
Shady Grove/Central High Fire Dept,McIntosh,Jeff Boyd,918-617-0266,999-999-9999
Shady Point Fire Department,Le Flore,Bob Hawley,918-647-9270,999-999-9999
Shamrock Fire Department,Creek,Keith Weaver,918-640-2110,999-999-9999
Sharon Fire Department,Woodward,Bill Phillips,580-256-3937,999-999-9999
Shattuck Fire Department,Ellis,Gavin Stevens,580-938-1228,999-999-9999
Shawnee Fire Department,Pottawatomie,Jimmy Gibson,405-878-1556,999-999-9999
Sherwood Rural Fire Department,McCurtain,James Smith,580-241-5731,999-999-9999
Shidler Volunteer Fire Department,Osage,Todd Roe,918-793-7171,999-999-9999
Shinewell Fire Department,McCurtain,Franky Pogue,580-245-1133,999-999-9999
Sickles Volunteer Fire Association,Caddo,Mike Taylor,405-457-6744,999-999-9999
Silo Community Vol Fire Department,Bryan,Tom Atkinson,580-924-6449,999-999-9999
Silver City Volunteer Fire Department,Creek,Bryan Beall,918-865-7040,999-999-9999
Skedee Volunteer Fire Department,Pawnee,Lee Peckenpah,918-767-3151,999-999-9999
Skiatook Fire Department,Osage,Bryn Burgess,918-396-3580,918-396-3002
Slapout Fire Department,Beaver,Charlie Starbuck,580-837-5253,999-999-9999
Slaughterville Fire Department,Cleveland,Paul Long,405-831-6224,999-999-9999
Slick Volunteer Fire Department,Creek,Arlis Bryant,918-367-6042,999-999-9999
Sneed Volunteer Fire Department,Carter,Jay Christian,580-657-2474,999-999-9999
Snyder Fire Department,Kiowa,Bill Graves,580-569-2119,999-999-9999
Sobol Volunteer Fire Department Inc,Choctaw,Rick Dockenson,580-212-0199,999-999-9999
SODA,Bryan,Tommy Sheperd,580-920-1388,999-999-9999
Sold,McClain,Jim Pitts,405-288-2385,999-999-9999
"Soldier Creek and Caney Fire Prevention Assn, Inc.",Marshall,Jimmy Jacobs,580-565-9002,999-999-9999
Sooner Volunteer Fire Department,Logan,Daryl Hoel,405-282-8230,999-999-9999
Soper Volunteer Fire Department,Choctaw,Albert Hoff,,999-999-9999
South Coffeyville Fire Department,Nowata,Jim Wilson,918-255-6610,918-255-6430
Southeast Area Forestry,McCurtain,Tommy Smith,580-584-3351,999-999-9999
Southside Volunteer Fire Association,Haskell,Chris Pugh,918-967-9116,999-999-9999
Sparks Fire Protection District (CLCFPD #4),Lincoln,Nick Collett,918-866-2300,999-999-9999
Sparrow Hawk Village Vol Fire Dept,Cherokee,Charles Pass,918-456-4389,999-999-9999
Spaulding Volunteer Fire Department,Hughes,Tommy Taylor,405-379-3668,999-999-9999
Spavinaw Fire Department,Mayes,Terry Newby,918-589-2574,999-999-9999
Speer Volunteer Fire Department Association,Choctaw,Sharon Smith,580-326-4306,999-999-9999
Spencer Fire Department,Oklahoma,Jeff Hale,405-831-6760,999-999-9999
Spencerville Fire Department,Choctaw,Ryan Pitt,580-326-8031,999-999-9999
Sperry Fire Department,Osage,Sam Bradley,918-288-7056,999-999-9999
Spiro Fire Department,Le Flore,Doug Harper,918-962-2451,999-999-9999
Spring Valley Fire Department,Cherokee,Ronnie Smith,918-691-8656,999-999-9999
Springer Fire Department,Carter,Denny Meeks,580-653-2281,999-999-9999
Stapp Zoe & Quachita Vol Fire Dept,Le Flore,Donnie Heavener,918-653-7831,999-999-9999
Sterling Fire Department,Comanche,David Break,580-512-8927,999-999-9999
Stigler Fire Department,Haskell,Jimmy Pearson,918-967-2164,999-999-9999
Stillwater Fire Department,Payne,Marion Blackwell,405-742-8308,999-999-9999
Stilwell Fire Department,Adair,Kevin Stuhmer,918-696-7412,999-999-9999
Stone Bluff Volunteer Fire Department,Wagoner,Carla Hayes,918-482-1111,999-999-9999
Stonewall Fire Department,Pontotoc,Phillip Nuner,580-265-4241,580-265-4536
Strang Community Fire Department,Mayes,Travis Fleming,918-593-2356,999-999-9999
Stratford Fire Department,Garvin,Johnny Mann,580-759-2362,999-999-9999
Stringtown Fire Department,Atoka,James Self,580-239-2382,999-999-9999
Strong City Vol Fire Association,Roger Mills,Boyd Koch,580-821-2080,999-999-9999
Strothers Volunteer Fire District,Seminole,Nick Nadeau,405-382-5578,999-999-9999
Stroud Fire Department,Lincoln,Roger CcElyes,918-290-0603,999-999-9999
Stuart Fire Department,Hughes,Terry Gilliland,918-546-2623,999-999-9999
Sugden Volunteer Fire Department,Jefferson,Page Strickland,580-228-2402,999-999-9999
Sulphur Fire Department,Murray,Danny Cox,405-622-3400,999-999-9999
Summerfield Fire Department,Le Flore,Wilbur Waits,918-567-2190,999-999-9999
Summit Volunteer Fire Department,Muskogee,Greg Smith,918-840-0752,999-999-9999
Sumner Fire Department Association,Noble,Albert Quick,580-336-4964,999-999-9999
Sunrise Volunteer Fire Department,Okfuskee,Charles Fisher,918-623-1331,999-999-9999
SW Lincoln Co Fire Prot District #1,Lincoln,John Pieper,405-454-6127,999-999-9999
Swan Lake Vol Firefighters Association,Caddo,Jack Woolard,405-643-5397,999-999-9999
Sweetwater/Beckham Co Fire Dept,Beckham,Tim Bryan,580-729-0406,999-999-9999
Swink Volunteer Fire Department,Choctaw,Billy Powell,580-873-2384,999-999-9999
SWODA,Washita,Mark Gardner,580-562-4884,580-562-4880
Sycamore Fire Department Incorporated,Osage,Raymond Keil,918-538-2211,999-999-9999
Taft Fire Association,Muskogee,Kenny Lee,918-682-4529,999-999-9999
Tahlequah Fire Department,Cherokee,Ray Hammons,918-456-0651,999-999-9999
Talihina Fire Department,Le Flore,Gary Lawrence,918-567-2228,918-567-2733
Taloga Fire and Ambulance,Dewey,Chuckie Hurt,580-886-5280,999-999-9999
Tamaha Volunteer Fire Department,Haskell,Jeff Murrell,479-461-1091,999-999-9999
Tannehill Volunteer Fire Department,Pittsburg,Woody King,918-424-2177,999-999-9999
Taylors Ferry Vol Fire Department,Wagoner,Doug Disler,918-772-2251,999-999-9999
Tecumseh Fire Department,Pottawatomie,Aaron Williams,405-598-4303,405-598-3365
Temple Volunteer Fire Department,Cotton,Matt Tucker,580-342-6218,999-999-9999
Tenkiller State Park,Sequoyah,Steven Lamb,918-487-5178,999-999-9999
Terlton Vol. Fire Department,Pawnee,Ricky Davis,918-757-4254,918-757-4254
Terral Volunteer Fire Department,Jefferson,David Hamm,580-437-2337,999-999-9999
Texanna Fire Department Assn,McIntosh,Harry Trottier,918-689-6152,918-689-7805
Texhoma Fire Department,Texas,Jeff Tanquary,580-651-6786,999-999-9999
Texola Volunteer Fire Department,Beckham,Richard Moore,580-526-3723,999-999-9999
Texoma Vol Fire Department,Marshall,Jere Zimmerman,580-564-9282,999-999-9999
Thackerville Community Vol Fire Dept,Love,Ken Watson,580-276-2899,999-999-9999
Thomas Volunteer Fire Department,Custer,Larry Schrock,580-661-1120,580-661-3689
Tia Juana Volunteer Fire Department,Delaware,Jim Smart,918-435-5786,999-999-9999
Tiawah Fire Department,Rogers,Johnny Golbek,918-341-0304,999-999-9999
Tiff City Volunteer Fire Department,Delaware,Jim McBee,417-775-2205,999-999-9999
Tiger Mountain Rural Fire Dept,McIntosh,Darren Dotson,918-652-1046,999-999-9999
Tillman County Fire Department,Tillman,Johnnie Carpenter,580-335-3421,999-999-9999
Tipton Volunteer Fire Department,Tillman,Benji Miligan,580-667-4105,999-999-9999
Tishomingo Fire Department,Johnston,Paul Wilson,580-371-3051,580-371-3723
Tom Volunteer Fire Department,McCurtain,Bob Grant,580-245-1539,999-999-9999
Tonkawa Fire Department,Kay,Kirk Henderson,580-628-3251,999-999-9999
Toppers Fire Company,Wagoner,Gary Tichenor,918-688-0233,999-999-9999
Town of Red Bird Comm Vol Fire Dept,Wagoner,Kenny Herd,918-640-5192,999-999-9999
Transferred,McClain,Jim Pitts,405-288-2385,999-999-9999
Tri City Fire Department,Marshall,Dicky Melton,580-795-3551,999-999-9999
Tri District Fire Department,Rogers,Bob Anderson,918-342-4484,999-999-9999
Tribbey Fire Department,Pottawatomie,Mickey Fullingim,405-899-4178,999-999-9999
Tryon Fire Department,Lincoln,Mike Kerns,918-374-2384,999-999-9999
Tullahassee Fire Department,Wagoner,Scott Smith,918-683-4611,999-999-9999
Tulsa Area Emergency Mgmt Assoc,Tulsa,Roger Jolliff,918-596-9898,999-999-9999
Tupelo Fire District,Coal,Rick Ellis,580-845-2626,999-999-9999
Turley Fire And Rescue Company,Tulsa,Nelson Sager,918-425-3207,999-999-9999
Turpin Fire Department,Beaver,Gary Riffe,580-778-3702,999-999-9999
Tushka Fire Department,Atoka,Roger McIntish,580-889-6157,999-999-9999
Tuskahoma Fire Department,Pushmataha,Bill Willis,918-569-4657,999-999-9999
Tuttle Fire Department,Grady,Gerald Cook,405-381-4464,999-999-9999
Twin City Fire Department,Caddo,David Pack,405-797-3829,999-999-9999
Twin Hills Volunteer Fire Dept,Okmulgee,Robert Pinkston,918-756-6054,999-999-9999
Twin Lakes Volunteer Fire Department,Logan,Bill Media,405-632-7422,999-999-9999
Tyrone Fire Department,Texas,Bart Banning,580-854-6873,999-999-9999
Union Chappel Fire Department,Pittsburg,Phillip Danley,918-432-6100,999-999-9999
Union City Fire Department,Canadian,Darrel Wilkerson Jr,405-483-5262,999-999-9999
Union Valley Vol Fire Association,Pontotoc,Mike Carrell,580-265-9601,999-999-9999
US War Veteran Colony Vol Fire Dept,Latimer,Robert Livingston,918-465-2517,999-999-9999
Valliant Fire Department,McCurtain,x,580-933-4721,580-933-4841
Vanoss Fire Department,Pontotoc,Rance Walker,580-310-4792,999-999-9999
Velma Volunteer Fire Department,Stephens,David Bloodworth,580-444-3393,999-999-9999
Verden Volunteer Fire Department,Grady,Jackson McClane,405-453-7027,999-999-9999
Verdigris Fire Protection District,Rogers,Mike Shaffer,918-266-3217,999-999-9999
Vian Fire Department,Sequoyah,Ed Barton,918-773-4038,999-999-9999
Vici Fire Department,Dewey,David Trimble,580-995-4231,999-999-9999
Vinita Fire Department,Craig,Jim Butcher,918-256-2674,999-999-9999
Vinson Rural Vol Fire Department,Harmon,Gerald Sherrill,580-675-2471,999-999-9999
Vivian Area Fire Association,McIntosh,Robert Lane,918-618-2453,999-999-9999
Wade Vol Fire Department Assoc,Bryan,Trusten Munson,580-847-2337,999-999-9999
Wagoner County Fire Service,Wagoner,Randy Cole,918-483-2288,999-999-9999
Wagoner Fire Department,Wagoner,Kelly Grooms,918-284-6118,999-999-9999
Wainwright Volunteer Fire Association,Muskogee,Rick Grimes,918-781-9493,999-999-9999
Wakita Fire Department,Grant,J. Day Williams,580-594-2467,999-999-9999
Walker Fire District,Garvin,Jim Rickey,405-238-5573,999-999-9999
Walnut Creek State Park,Osage,David Smith,918-865-2066,999-999-9999
Walters Volunteer Fire Department,Cotton,Richard Lewallen,580-875-2060,999-999-9999
Wamsley Creek Rural Fire Department,Osage,Jason Reed,918-793-2151,999-999-9999
Wanette Fire Department,Pottawatomie,Scott Dubler,405-863-0627,999-999-9999
Wann Community Rural Fire Dept,Nowata,Skip Blackburn,918-531-2609,999-999-9999
Wapanucka Fire Department,Johnston,Gary Reeder,580-937-9955,999-999-9999
Wards Chapel Fire Department,Atoka,Jim Hardman,580-889-9533,999-999-9999
Wardville Fire Department,Atoka,Jim Rhyne,918-874-3563,999-999-9999
Warner Volunteer Fire Department,Muskogee,Enoch Good,918-441-8310,999-999-9999
Warren Fire Department,Jackson,Richard mcmahon,580-318-2240,999-999-9999
Washington Co Civil Defense Fire Dept,Washington,Kary Cox,918-214-0107,999-999-9999
Washington Co Emergency Operations Center,Washington,Kary Cox,918-331-2710,999-999-9999
Washington Volunteer Fire Department,McClain,John Wilk,405-288-2578,999-999-9999
Washita County District 3,Washita,Steve Finnell,580-832-5016,999-999-9999
Watonga Fire Department,Blaine,Mark Huff,580-623-7378,999-999-9999
Watson Community Fire Department,McCurtain,Terry Freeman,580-244-3398,999-999-9999
Watts Fire Department,Adair,Darrell King,479-238-4965,999-999-9999
Waukomis Fire Department,Garfield,Clarence Maly,580-758-3481,999-999-9999
Waurika Fire Department,Jefferson,Johnny Berry,580-228-2714,999-999-9999
Wayne Volunteer Fire Department,McClain,Scott Thrash,405-527-0574,999-999-9999
Waynoka Fire Department,Woods,John Smiley,580-334-6553,999-999-9999
Weatherford Fire Department,Custer,David Wright,580-772-5345,999-999-9999
Webb City Vol Fire Department,Osage,Jeff Harbison,918-765-2431,999-999-9999
Webb Fire Association,Dewey,Kirk Stephenson,580-328-5402,999-999-9999
Webbers Falls Vol Fire Department,Muskogee,Travis Cox,918-464-2096,999-999-9999
Welch Volunteer Fire Department,Craig,Michael Fitzpatrick,918-244-1719,999-999-9999
Weleetka Rural Fire Association,Okfuskee,Jimpsey Micco,405-208-9030,405-786-2273
Welling Fire Department,Cherokee,Martin Webb,918-456-7698,999-999-9999
Wellston Fire Department,Lincoln,Jeff Flanagan,405-356-0064,999-999-9999
Welty Volunteer Fire Department,Okfuskee,Donald York,918-623-1595,999-999-9999
West Bryan County Fire District,Bryan,Matt Green,580-920-1607,999-999-9999
West End Volunteer Fire Department,Latimer,David Dunlap,918-448-2600,999-999-9999
West Siloam Springs Fire Department,Delaware,Stan Shelly,479-524-8885,999-999-9999
West Tenkiller Protective Associtation,Sequoyah,Mike Estes,918-487-7170,918 487 9815
Westport Fire Department,Pawnee,Bob Sharp,918-243-7222,999-999-9999
Westville Volunteer Fire Department,Adair,John Hembree,918-930-0301,999-999-9999
Wetumka Fire Department,Hughes,Curtis Leftwich,405-452-3153,999-999-9999
Wewoka Fire Department,Seminole,Kevin Anderson,405-257-5421,999-999-9999
Wheeless/Mexhoma Firefighters Assoc,Cimarron,Will Tapp,580-426-2765,999-999-9999
Whitefield Volunteer Fire Department,Haskell,Rhonda Few,918-967-2960,999-999-9999
Whitehorn Fire Department,Wagoner,Steve Weeden,918-462-7544,999-999-9999
Whitesboro Fire Department,Le Flore,Rocky King,918-567-2776,999-999-9999
Wichita Mountain Estates Fire Dept,Comanche,Bob Martineau,580-529-2404,999-999-9999
Wilburton Fire Department,Latimer,David Donoley,918-465-5361,999-999-9999
Wilburton/Latimer Emergency Mgmt,Latimer,Gerald Downing,918-465-3582,999-999-9999
Willis Powell Fire Department,Marshall,Chris Bridenstine,580-564-2131,999-999-9999
Willow Volunteer Fire Department,Greer,Randy Patten,580-287-3283,999-999-9999
Wilson Community Vol Fire Department,Atoka,Darren Beasly,580-937-4007,999-999-9999
Wilson Fire Department,Carter,Steve Shepherd,580-668-2014,999-999-9999
Wilson Vol Fire Dept Assoc,Okmulgee,John Ritter,918-650-8648,999-999-9999
Wister Fire Department,Le Flore,Andy Ford,918-647-6247,999-999-9999
Wm S Key Corrections Fire & Safety,Woodward,Michael Pettey,580-766-2224,999-999-9999
Woodall Fire Department,Cherokee,Jason Fullen,918-931-9206,999-999-9999
Woodcrest Rural Fire Protection District,Logan,Bobby Anderson,405-396-8926,999-999-9999
Woodford Volunteer Fire Department,Carter,Jim South,580-561-2133,999-999-9999
Woodward Fire Department,Woodward,Steve Day,580-254-8538,999-999-9999
Wright City Municipal Fire Department,McCurtain,Berlin Heck,580-981-2100,999-999-9999
Wyandotte Fire Department,Ottawa,Jody Francisco,417-793-3078,999-999-9999
Wynnewood Fire Department,Garvin,Alan Mathews,405-665-2851,999-999-9999
Wynona Volunteer Fire Department,Osage,Rick Robinson,918-846-2298,999-999-9999
Yale Fire Department,Payne,Jeff Morphew,918-387-2191,999-999-9999
Yarbrough Fire Department,Texas,Jim Oswald,580-545-3369,999-999-9999
Yeager Vol Fire Department Association,Hughes,Barry Wood,405-379-5052,999-999-9999
Yuba Volunteer Fire Department,Bryan,Greg Hagood,580-283-3512,999-999-9999
Zena Volunteer Fire Department,Delaware,Dewayne Creason,918-786-8434,999-999-9999
Zink Fire Department Incorporated,Osage,Dustin Melton,918-241-2273,999-999-9999